date,close
2021-01-04,129.410004
2021-01-05,131.009995
2021-01-06,126.599998
2021-01-07,130.919998
2021-01-08,132.050003
2021-01-11,128.979996
2021-01-12,128.800003
2021-01-13,130.889999
2021-01-14,128.910004
2021-01-15,127.139999
2021-01-19,127.830002
2021-01-20,132.029999
2021-01-21,136.869995
2021-01-22,139.070007
2021-01-25,142.919998
2021-01-26,143.160004
2021-01-27,142.059998
2021-01-28,137.089996
2021-01-29,131.960007
2021-02-01,134.139999
2021-02-02,134.990005
2021-02-03,133.940002
2021-02-04,137.389999
2021-02-05,136.759995
2021-02-08,136.910004
2021-02-09,136.009995
2021-02-10,135.389999
2021-02-11,135.130005
2021-02-12,135.369995
2021-02-16,133.190002
2021-02-17,130.839996
2021-02-18,129.710007
2021-02-19,129.869995
2021-02-22,126
2021-02-23,125.860001
2021-02-24,125.349998
2021-02-25,120.989998
2021-02-26,121.260002
2021-03-01,127.790001
2021-03-02,125.120003
2021-03-03,122.059998
2021-03-04,120.129997
2021-03-05,121.419998
2021-03-08,116.360001
2021-03-09,121.089996
2021-03-10,119.980003
2021-03-11,121.959999
2021-03-12,121.029999
2021-03-15,123.989998
2021-03-16,125.57
2021-03-17,124.760002
2021-03-18,120.529999
2021-03-19,119.989998
2021-03-22,123.389999
2021-03-23,122.540001
2021-03-24,120.089996
2021-03-25,120.589996
2021-03-26,121.209999
2021-03-29,121.389999
2021-03-30,119.900002
2021-03-31,122.150002
2021-04-01,123
2021-04-05,125.900002
2021-04-06,126.209999
2021-04-07,127.900002
2021-04-08,130.360001
2021-04-09,133
2021-04-12,131.240005
2021-04-13,134.429993
2021-04-14,132.029999
2021-04-15,134.5
2021-04-16,134.160004
2021-04-19,134.839996
2021-04-20,133.110001
2021-04-21,133.5
2021-04-22,131.940002
2021-04-23,134.320007
2021-04-26,134.720001
2021-04-27,134.389999
2021-04-28,133.580002
2021-04-29,133.479996
2021-04-30,131.460007
2021-05-03,132.539993
2021-05-04,127.849998
2021-05-05,128.100006
2021-05-06,129.740005
2021-05-07,130.210007
2021-05-10,126.849998
2021-05-11,125.910004
2021-05-12,122.769997
2021-05-13,124.970001
2021-05-14,127.449997
2021-05-17,126.269997
2021-05-18,124.849998
2021-05-19,124.690002
2021-05-20,127.309998
2021-05-21,125.43
2021-05-24,127.099998
2021-05-25,126.900002
2021-05-26,126.849998
2021-05-27,125.279999
2021-05-28,124.610001
2021-06-01,124.279999
2021-06-02,125.059998
2021-06-03,123.540001
2021-06-04,125.889999
2021-06-07,125.900002
2021-06-08,126.739998
2021-06-09,127.129997
2021-06-10,126.110001
2021-06-11,127.349998
2021-06-14,130.479996
2021-06-15,129.639999
2021-06-16,130.149994
2021-06-17,131.789993
2021-06-18,130.460007
2021-06-21,132.300003
2021-06-22,133.979996
2021-06-23,133.699997
2021-06-24,133.410004
2021-06-25,133.110001
2021-06-28,134.779999
2021-06-29,136.330002
2021-06-30,136.960007
2021-07-01,137.270004
2021-07-02,139.960007
2021-07-06,142.020004
2021-07-07,144.570007
2021-07-08,143.240005
2021-07-09,145.110001
2021-07-12,144.5
2021-07-13,145.639999
2021-07-14,149.149994
2021-07-15,148.479996
2021-07-16,146.389999
2021-07-19,142.449997
2021-07-20,146.149994
2021-07-21,145.399994
2021-07-22,146.800003
2021-07-23,148.559998
2021-07-26,148.990005
2021-07-27,146.770004
2021-07-28,144.979996
2021-07-29,145.639999
2021-07-30,145.860001
2021-08-02,145.520004
2021-08-03,147.360001
2021-08-04,146.949997
2021-08-05,147.059998
2021-08-06,146.139999
2021-08-09,146.089996
2021-08-10,145.600006
2021-08-11,145.860001
2021-08-12,148.889999
2021-08-13,149.100006
2021-08-16,151.119995
2021-08-17,150.190002
2021-08-18,146.360001
2021-08-19,146.699997
2021-08-20,148.190002
2021-08-23,149.710007
2021-08-24,149.619995
2021-08-25,148.360001
2021-08-26,147.539993
2021-08-27,148.600006
2021-08-30,153.119995
2021-08-31,151.830002
2021-09-01,152.509995
2021-09-02,153.649994
2021-09-03,154.300003
2021-09-07,156.690002
2021-09-08,155.110001
2021-09-09,154.070007
2021-09-10,148.970001
2021-09-13,149.550003
2021-09-14,148.119995
2021-09-15,149.029999
2021-09-16,148.789993
2021-09-17,146.059998
2021-09-20,142.940002
2021-09-21,143.429993
2021-09-22,145.850006
2021-09-23,146.830002
2021-09-24,146.919998
2021-09-27,145.369995
2021-09-28,141.910004
2021-09-29,142.830002
2021-09-30,141.5
2021-10-01,142.649994
2021-10-04,139.139999
2021-10-05,141.110001
2021-10-06,142
2021-10-07,143.289993
2021-10-08,142.899994
2021-10-11,142.809998
2021-10-12,141.509995
2021-10-13,140.910004
2021-10-14,143.759995
2021-10-15,144.839996
2021-10-18,146.550003
2021-10-19,148.759995
2021-10-20,149.259995
2021-10-21,149.479996
2021-10-22,148.690002
2021-10-25,148.639999
2021-10-26,149.320007
2021-10-27,148.850006
2021-10-28,152.570007
2021-10-29,149.800003
2021-11-01,148.960007
2021-11-02,150.020004
2021-11-03,151.490005
2021-11-04,150.960007
2021-11-05,151.279999
2021-11-08,150.440002
2021-11-09,150.809998
2021-11-10,147.919998
2021-11-11,147.869995
2021-11-12,149.990005
2021-11-15,150
2021-11-16,151
2021-11-17,153.490005
2021-11-18,157.869995
2021-11-19,160.550003
2021-11-22,161.020004
2021-11-23,161.410004
2021-11-24,161.940002
